Source,Target,Type,Id,Label,Weight
8.0,3.0,Undirected,1,,1.0
9.0,5.0,Undirected,2,,1.0
9.0,6.0,Undirected,3,,1.0
10.0,0.0,Undirected,4,,1.0
10.0,2.0,Undirected,5,,1.0
13.0,5.0,Undirected,6,,1.0
13.0,6.0,Undirected,7,,1.0
13.0,9.0,Undirected,8,,1.0
14.0,0.0,Undirected,9,,1.0
14.0,3.0,Undirected,10,,1.0
15.0,0.0,Undirected,11,,1.0
16.0,14.0,Undirected,12,,1.0
17.0,1.0,Undirected,13,,1.0
17.0,6.0,Undirected,14,,1.0
17.0,9.0,Undirected,15,,1.0
17.0,13.0,Undirected,16,,1.0
18.0,15.0,Undirected,17,,1.0
19.0,1.0,Undirected,18,,1.0
19.0,7.0,Undirected,19,,1.0
20.0,8.0,Undirected,20,,1.0
20.0,16.0,Undirected,21,,1.0
20.0,18.0,Undirected,22,,1.0
21.0,18.0,Undirected,23,,1.0
22.0,17.0,Undirected,24,,1.0
24.0,14.0,Undirected,25,,1.0
24.0,15.0,Undirected,26,,1.0
24.0,18.0,Undirected,27,,1.0
25.0,17.0,Undirected,28,,1.0
26.0,1.0,Undirected,29,,1.0
26.0,25.0,Undirected,30,,1.0
27.0,1.0,Undirected,31,,1.0
27.0,7.0,Undirected,32,,1.0
27.0,17.0,Undirected,33,,1.0
27.0,25.0,Undirected,34,,1.0
27.0,26.0,Undirected,35,,1.0
28.0,1.0,Undirected,36,,1.0
28.0,8.0,Undirected,37,,1.0
28.0,20.0,Undirected,38,,1.0
29.0,10.0,Undirected,39,,1.0
29.0,18.0,Undirected,40,,1.0
29.0,21.0,Undirected,41,,1.0
29.0,24.0,Undirected,42,,1.0
30.0,7.0,Undirected,43,,1.0
30.0,19.0,Undirected,44,,1.0
30.0,28.0,Undirected,45,,1.0
31.0,17.0,Undirected,46,,1.0
32.0,9.0,Undirected,47,,1.0
32.0,13.0,Undirected,48,,1.0
33.0,12.0,Undirected,49,,1.0
33.0,14.0,Undirected,50,,1.0
33.0,16.0,Undirected,51,,1.0
33.0,21.0,Undirected,52,,1.0
34.0,14.0,Undirected,53,,1.0
34.0,33.0,Undirected,54,,1.0
35.0,29.0,Undirected,55,,1.0
36.0,1.0,Undirected,56,,1.0
36.0,20.0,Undirected,57,,1.0
36.0,23.0,Undirected,58,,1.0
37.0,8.0,Undirected,59,,1.0
37.0,14.0,Undirected,60,,1.0
37.0,16.0,Undirected,61,,1.0
37.0,21.0,Undirected,62,,1.0
37.0,33.0,Undirected,63,,1.0
37.0,34.0,Undirected,64,,1.0
37.0,36.0,Undirected,65,,1.0
38.0,14.0,Undirected,66,,1.0
38.0,16.0,Undirected,67,,1.0
38.0,20.0,Undirected,68,,1.0
38.0,33.0,Undirected,69,,1.0
39.0,36.0,Undirected,70,,1.0
40.0,0.0,Undirected,71,,1.0
40.0,7.0,Undirected,72,,1.0
40.0,14.0,Undirected,73,,1.0
40.0,15.0,Undirected,74,,1.0
40.0,33.0,Undirected,75,,1.0
40.0,36.0,Undirected,76,,1.0
40.0,37.0,Undirected,77,,1.0
41.0,1.0,Undirected,78,,1.0
41.0,9.0,Undirected,79,,1.0
41.0,13.0,Undirected,80,,1.0
42.0,0.0,Undirected,81,,1.0
42.0,2.0,Undirected,82,,1.0
42.0,10.0,Undirected,83,,1.0
42.0,30.0,Undirected,84,,1.0
43.0,14.0,Undirected,85,,1.0
43.0,29.0,Undirected,86,,1.0
43.0,33.0,Undirected,87,,1.0
43.0,37.0,Undirected,88,,1.0
43.0,38.0,Undirected,89,,1.0
44.0,2.0,Undirected,90,,1.0
44.0,20.0,Undirected,91,,1.0
44.0,34.0,Undirected,92,,1.0
44.0,38.0,Undirected,93,,1.0
45.0,8.0,Undirected,94,,1.0
45.0,15.0,Undirected,95,,1.0
45.0,18.0,Undirected,96,,1.0
45.0,21.0,Undirected,97,,1.0
45.0,23.0,Undirected,98,,1.0
45.0,24.0,Undirected,99,,1.0
45.0,29.0,Undirected,100,,1.0
45.0,37.0,Undirected,101,,1.0
46.0,43.0,Undirected,102,,1.0
47.0,0.0,Undirected,103,,1.0
47.0,10.0,Undirected,104,,1.0
47.0,20.0,Undirected,105,,1.0
47.0,28.0,Undirected,106,,1.0
47.0,30.0,Undirected,107,,1.0
47.0,42.0,Undirected,108,,1.0
49.0,34.0,Undirected,109,,1.0
49.0,46.0,Undirected,110,,1.0
50.0,14.0,Undirected,111,,1.0
50.0,16.0,Undirected,112,,1.0
50.0,20.0,Undirected,113,,1.0
50.0,33.0,Undirected,114,,1.0
50.0,42.0,Undirected,115,,1.0
50.0,45.0,Undirected,116,,1.0
51.0,4.0,Undirected,117,,1.0
51.0,11.0,Undirected,118,,1.0
51.0,18.0,Undirected,119,,1.0
51.0,21.0,Undirected,120,,1.0
51.0,23.0,Undirected,121,,1.0
51.0,24.0,Undirected,122,,1.0
51.0,29.0,Undirected,123,,1.0
51.0,45.0,Undirected,124,,1.0
51.0,50.0,Undirected,125,,1.0
52.0,14.0,Undirected,126,,1.0
52.0,29.0,Undirected,127,,1.0
52.0,38.0,Undirected,128,,1.0
52.0,40.0,Undirected,129,,1.0
53.0,43.0,Undirected,130,,1.0
54.0,1.0,Undirected,131,,1.0
54.0,6.0,Undirected,132,,1.0
54.0,7.0,Undirected,133,,1.0
54.0,13.0,Undirected,134,,1.0
54.0,19.0,Undirected,135,,1.0
54.0,41.0,Undirected,136,,1.0
55.0,15.0,Undirected,137,,1.0
55.0,51.0,Undirected,138,,1.0
56.0,5.0,Undirected,139,,1.0
56.0,6.0,Undirected,140,,1.0
57.0,5.0,Undirected,141,,1.0
57.0,6.0,Undirected,142,,1.0
57.0,9.0,Undirected,143,,1.0
57.0,13.0,Undirected,144,,1.0
57.0,17.0,Undirected,145,,1.0
57.0,39.0,Undirected,146,,1.0
57.0,41.0,Undirected,147,,1.0
57.0,48.0,Undirected,148,,1.0
57.0,54.0,Undirected,149,,1.0
58.0,38.0,Undirected,150,,1.0
59.0,3.0,Undirected,151,,1.0
59.0,8.0,Undirected,152,,1.0
59.0,15.0,Undirected,153,,1.0
59.0,36.0,Undirected,154,,1.0
59.0,45.0,Undirected,155,,1.0
60.0,32.0,Undirected,156,,1.0
61.0,2.0,Undirected,157,,1.0
61.0,37.0,Undirected,158,,1.0
61.0,53.0,Undirected,159,,1.0
